Step6-Energy-rel-kWh,Step6-Temperature-C-F,Step6-Torque-Nm-ft/lbs,Step7-Energy-rel-kWh,Step7-Temperature-C-F,Step7-Torque-Nm-ft/lbs,Step8-Energy-rel-kWh,Step8-Temperature-C-F,Step8-Torque-Nm-ft/lbs,Tensile,Elongation,Hardness,M16
83,102,112,95,102,114,105,99,109,16,489,57,3.2
90,106,102,101,104,93,112,102,95,15,481,56,3.1
86,99,121,97,101,110,107,99,96,16,494,56,3.1
88,102,142,100,102,108,110,102,88,15,485,56,3.4
83,100,130,96,103,112,107,99,100,15,492,56,3.3
83,94,121,94,98,112,104,100,96,16,479,57,3.3
86,104,131,98,105,110,108,99,97,15,473,57,2.9
87,101,132,98,100,101,108,102,92,15,472,57,3.6
85,101,106,95,101,101,105,98,102,16,484,57,3.6
87,100,143,99,99,110,109,102,88,16,491,57,3.5
82,99,135,95,99,108,105,103,105,17,498,57,3.5
85,101,127,96,96,101,105,102,86,15,494,57,3.5
86,95,110,98,100,103,108,101,92,14,455,57,3.4
83,94,112,94,98,99,104,101,97,15,467,58,3.5
87,102,117,99,101,99,108,101,93,15,479,58,3.4
86,103,129,97,103,113,106,99,96,16,490,57,3.4
86,97,120,97,102,111,107,101,100,16,486,57,3.5
85,102,127,97,101,105,107,103,95,15,484,57,3.4
86,101,121,97,100,100,107,99,95,15,476,57,3.4
85,106,110,97,100,101,106,102,92,15,484,56,3.3
86,101,115,98,96,113,108,101,100,16,492,56,3.3
89,105,132,100,100,94,110,100,89,16,486,56,3.3
88,105,118,100,102,93,110,101,82,16,478,57,3.3
85,101,124,98,99,106,108,100,87,14,467,57,3.1
88,102,133,99,100,101,109,100,85,14,458,57,3.3
88,102,122,101,98,95,111,101,93,15,483,57,3.4
82,102,105,93,97,107,102,99,96,16,486,57,3.2
84,101,123,96,101,105,106,100,91,14,466,56,3.3
81,103,122,92,100,106,102,99,84,15,484,56,3.2
87,104,119,98,100,95,108,101,86,14,447,56,3.1
86,104,134,97,101,108,106,99,89,15,448,58,3.2
87,103,106,98,101,94,108,101,90,15,479,57,3.4
85,103,116,95,100,95,106,100,98,15,476,57,3.2
85,99,116,97,101,113,107,102,98,15,468,57,3.3
85,102,129,97,101,105,107,100,86,15,469,57,3.4
85,107,114,96,103,107,106,102,95,13,430,57,3.2
87,104,107,99,100,104,108,103,87,13,412,57,3.4
80,106,118,90,98,92,100,99,87,14,437,57,3.3
81,98,103,93,99,94,102,100,91,15,461,57,3.2
83,102,119,94,103,101,104,100,92,14,453,57,3.4
